X,budget,company,country,director,genre,gross,name,rating,release_month,runtime,score,star,votes,writer,year,budget_missing,region,direc_freq,comp_freq,season,id,afinn_score,sentiment_best,writer_count,writer_popularity,director_count,director_popularity,star_count,star_popularity
6211,11000000,Aldamisa Entertainment,USA,Jon Favreau,Comedy,30640336,Chef,R,5,114,7.3,Jon Favreau,156375,Jon Favreau,2014,0,North America,2.1972245773362196,1.0986122886681098,Spring,6211,0,0,4,5,8,5,1,2
6212,140000000,Chernin Entertainment,UK,Ridley Scott,Action,65014513,Exodus: Gods and Kings,PG-13,12,150,6,Christian Bale,140323,Adam Cooper,2014,0,Western Europe,2.995732273553991,1.3862943611198906,Winter,6212,0,0,4,5,19,5,20,5
6213,21000000,Canyon Creek Films,Germany,Christian Ditter,Comedy,14893,Tal vez es para siempre,R,4,102,7.2,Lily Collins,85099,Juliette Towhidi,2014,1,Western Europe,1.0986122886681098,0.6931471805599453,Spring,6213,0,0,2,4,2,2,4,3
6214,40000000,Bluegrass Films,USA,Seth MacFarlane,Comedy,43139300,A Million Ways to Die in the West,R,5,116,6.1,Seth MacFarlane,147947,Seth MacFarlane,2014,0,North America,1.3862943611198906,1.6094379124341003,Spring,6214,-3,-3,3,4,3,3,1,2
6215,65000000,Aldamisa Entertainment,USA,Frank Miller,Crime,13757804,Sin City: A Dame to Kill For,R,8,102,6.5,Mickey Rourke,126091,Frank Miller,2014,0,North America,1.3862943611198906,1.0986122886681098,Summer,6215,-3,-3,3,4,3,3,12,4
6216,70000000,Universal Pictures,USA,Gary Shore,Action,56280355,Dracula Untold,PG-13,10,92,6.3,Luke Evans,152210,Matt Sazama,2014,0,North America,0.6931471805599453,5.713732805509369,Fall,6216,0,0,2,4,1,1,2,2
6217,65000000,3 Arts Entertainment,USA,Angelina Jolie,Biography,115637895,Unbroken,PG-13,12,137,7.2,Jack O'Connell,117590,Joel Coen,2014,0,North America,1.3862943611198906,1.791759469228055,Winter,6217,0,0,11,5,3,3,3,2
6218,95000000,Beijing Skywheel Entertainment Co.,USA,Sergei Bodrov,Action,17223265,Seventh Son,PG-13,2,102,5.5,Ben Barnes,61441,Charles Leavitt,2014,0,North America,1.0986122886681098,0.6931471805599453,Winter,6218,0,0,6,5,2,2,3,2
6219,1000000,Bazelevs Production,USA,Levan Gabriadze,Drama,31537320,Unfriended,R,4,83,5.6,Heather Sossaman,52922,Nelson Greaves,2014,0,North America,0.6931471805599453,1.3862943611198906,Spring,6219,0,0,1,2,1,1,1,2
6220,48000000,EuropaCorp,France,Olivier Megaton,Action,89256424,Busqueda implacable 3,PG-13,1,109,6,Liam Neeson,149069,Luc Besson,2014,0,Western Europe,1.6094379124341003,3.367295829986474,Winter,6220,0,0,25,5,4,3,20,5
6221,40000000,Gulfstream Pictures,USA,Frank Coraci,Comedy,46294610,Blended,PG-13,5,117,6.5,Adam Sandler,96218,Ivan Menchell,2014,0,North America,2.0794415416798357,1.0986122886681098,Spring,6221,0,0,1,2,7,4,27,5
6222,26000000,DiNovi Pictures,USA,Michael Hoffman,Drama,26761283,The Best of Me,PG-13,10,118,6.7,James Marsden,51322,J. Mills Goodloe,2014,0,North America,2.302585092994046,1.3862943611198906,Fall,6222,3,3,2,4,9,5,4,3
6223,4000000,IFC Productions,USA,Richard Linklater,Drama,25379975,Boyhood,R,8,165,7.9,Ellar Coltrane,293068,Richard Linklater,2014,0,North America,2.8903717578961645,1.6094379124341003,Summer,6223,0,0,8,5,17,5,1,2
6224,65000000,Marcy Media,USA,Will Gluck,Comedy,85911262,Annie,PG,12,118,5.3,Quvenzhané Wallis,28204,Will Gluck,2014,0,North America,1.6094379124341003,0.6931471805599453,Winter,6224,0,0,2,4,4,3,2,2
6225,40000000,Columbia Pictures,USA,Jake Kasdan,Comedy,38543473,Sex Tape,R,7,94,5.1,Jason Segel,92074,Kate Angelo,2014,0,North America,1.791759469228055,4.6913478822291435,Summer,6225,0,0,2,4,5,4,3,2
